Staybridge Suites Lake Buena Vista,2,573,521
Rosen Inn International Drive,2,548,499
Best Western International Drive Orlando,2,633,576
Lake Buena Vista Resort Village & Spa,2,672,611
Wyndham Orlando Resort International Drive,2,541,492
The Villas of Grand Cypress,2,631,574
Calypso Cay Resort,2,521,474
Four Seasons Resort at Walt Disney World,4,1130,1027
Rosen Inn at Pointe Orlando,2,552,502
 Embassy Suites by Hilton Orlando International Drive Convention Center,2,575,523
Waldorf Astoria Orlando,4,822,747
 Ramada Plaza Resort and Suites Orlando International Drive,2,552,502
CoCo Key Hotel and Water Resort - Orlando,2,537,488
Disney's All Star Sports Resort,4,560,509
La Quinta Inn Orlando International Drive North,2,548,499
 Holiday Inn Express & Suites Orlando - International Drive,2,579,527
Allure Resort International Drive,2,483,439
Monumental Movieland Hotel,2,464,422
Hilton Garden Inn Orlando International Drive North,2,556,506
Rosen Plaza Hotel,2,625,569
 Floridays Resort,2,710,646
Disney's Art of Animation,4,652,593
DoubleTree by Hilton Orlando at Sea World,2,537,488
Disney's All-Star Movies Resort,4,552,502
 Rosen Centre Hotel,2,556,506
 Hilton Orlando,2,675,614
Hyatt Regency Orlando,2,622,565
Disney's All Star Music Resort,4,645,586
Disney's Pop Century Resort,4,587,534
" Castle Hotel, Autograph Collection",2,552,502
Courtyard by Marriott Orlando International Drive/Convention Center,2,652,593
 DoubleTree by Hilton Hotel at the Entrance to Universal Orlando,2,521,474
"The Ritz-Carlton Orlando, Grande Lakes",2,752,684
" JW Marriott Orlando, Grande Lakes",2,702,639
 Reunion Resort,5,371,338
 Four Seasons Resort Orlando at Walt Disney World® Resort,5,1130,1027
Waldorf Astoria Orlando,5,737,670
"The Ritz-Carlton Orlando, Grande Lakes",5,845,768
 Disney's Contemporary Resort,5,945,859
Disney's Polynesian Village Resort,5,999,908
Disney's Yacht Club Resort,5,868,789
 Disney's Animal Kingdom Lodge,5,806,733
Disney's Saratoga Springs Resort & Spa,5,914,831
Disney's Wilderness Lodge,5,802,730
Disney's Old Keywest Resort,5,826,751
Disney's Beach Club Resort,5,956,870
Walt Disney World Dolphin Resort,4,710,646
